厂名,注册资本,地址,产品,批准编号
苏州市奥健医卫用品有限公司,600万(元),苏州市吴中区临湖镇浦庄经济开发区,一次性使用医用外科口罩,苏械注准20172642215
苏州健宇医疗科技有限公司,1,280万(元),苏州高新区华枫路339号,一次性使用医用口罩,苏械注准20152140685
苏州健宇医疗科技有限公司,1,280万(元),苏州高新区华枫路339号,一次性使用医用口罩,苏械注准20152640685
苏州健宇医疗科技有限公司,1,280万(元),苏州高新区华枫路339号,一次性使用医用外科口罩,苏械注准20162640360
苏州乐天防护用品有限公司,200万(元),张家港市南丰镇振丰路12号,一次性使用医用口罩,苏械注准20182141490
苏州乐天防护用品有限公司,200万(元),张家港市南丰镇振丰路12号,一次性使用医用外科口罩,苏械注准20182141489
芜湖福派卫生用品有限公司,3,000万(元),安徽省芜湖市鸠江经济开发区富民路7号,一次性使用医用口罩,皖械注准20202140046
艾葵特生物股份有限公司,10,000万(元),山东省济南市莱芜区医药产业园13号楼,医用外科口罩,鲁械注准20202140315
自贡市济生医用器材有限责任公司,100万(元),四川省自贡市大安区大山铺镇油建路,医用外科口罩,川械注准20202140021
自贡市济生医用器材有限责任公司,100万(元),四川省自贡市大安区大山铺镇油建路,一次性使用医用口罩,川械注准20152140032
美迪康医用材料（上海）有限公司,80万(美元),上海市松江区车墩镇香车路290号302号,一次性医用外科口罩,沪械注准20162640540
美佳爽(中国)有限公司,10,000万(元),福建省泉州市石狮市鸿山镇高新区五金印刷基地鑫强路1号,医用外科口罩(非无菌型),闽械注准20202140073（临时）
绍兴福清卫生用品有限公司,722.9505万(美元),浙江省绍兴市越城区五泄路599号,普通医用口罩,浙械注准20192140108
绍兴福清卫生用品有限公司,722.9505万(美元),浙江省绍兴市越城区五泄路599号,医用外科口罩,浙械注准20152640375
绍兴瑞凯防护用品有限公司,233万(美元),浙江省绍兴市越城区兰江路7号,普通医用口罩,浙械注准20202141050
绍兴瑞凯防护用品有限公司,233万(美元),浙江省绍兴市越城区兰江路7号,医用外科口罩,浙械注准20202141049
绍兴易邦医用品有限公司,710万(美元),浙江省绍兴袍江工业区越王路347号,一次性使用医用外科口罩,浙械注准20202140007
纺源医疗用品集团有限公司,6,700万(元),广西-东盟经济技术开发区长岗大道69号12#标准厂房,医用外科口罩,桂械注准20182660050
纺源医疗用品集团有限公司,6,700万(元),广西-东盟经济技术开发区长岗大道69号12#标准厂房,一次性医用口罩,桂械注准20182660049
纳通生物科技（北京）有限公司,2,070.8万(元),北京市海淀区澄湾街9号院1号楼二层西北段E区,医用外科口罩,京械注准20202140060
纳通生物科技（北京）有限公司,2,070.8万(元),北京市海淀区澄湾街9号院1号楼二层西北段E区,医用外科口罩,京械注准20202140057
纳通生物科技（北京）有限公司,2,070.8万(元),北京市海淀区澄湾街9号院1号楼二层西北段E区,医用防护口罩,京械注准20202140080
稳健医疗（黄冈）有限公司,25,945.92万(元),湖北省黄冈市赤壁大道特一号,一次性使用外科口罩、帽子,鄂械注准20192142701
稳健医疗（崇阳）有限公司,2,855万(元),崇阳县天城镇中津村（金城大道）9A号,医用防护口罩,鄂械注准20142641947
稳健医疗用品股份有限公司,37,649.2308万(元),深圳市龙华新区布龙路660号稳健工业园,医用外科口罩,粤械注准20152640745
稳健医疗(黄冈)有限公司,25,945.92万(元),湖北省黄冈市赤壁大道特一号,医用防护口罩,鄂械注准20162642419
稳健医疗(黄冈)有限公司,25,945.92万(元),湖北省黄冈市赤壁大道特一号,医用外科口罩,鄂械注准20142142016
稳健医疗(黄冈)有限公司,25,945.92万(元),湖北省黄冈市赤壁大道特一号,医用护理口罩,鄂械注准20142142015
科列尔（天津）医疗科技有限公司,1,000万(元),天津市西青区李七庄街天祥工业区商务区5号楼,一次性使用医用口罩,津械注准20202140836
福建鼻涕虫婴儿用品有限公司,1,000万(元),福建省晋江市永和镇上宅恒美大厦二期厂房,一次性使用医用口罩(非无菌型),闽械注准20202140018（临时）
福建诺米高医疗科技有限公司,1,000万(元),福建省泉州市晋江市经济开发区(五里园)灵山路10号C幢二楼,一次性使用医用口罩(非无菌型),闽械注准20202140136（临时）
福建诺米高医疗科技有限公司,1,000万(元),福建省泉州市晋江市经济开发区(五里园)灵山路10号C幢二楼,一次性使用医用外科口罩(非无菌型),闽械注准20202140137（临时）
福建蓝蜻蜓护理用品股份公司,3,200万(元),福建省泉州市洛江区罗溪蓝蜻蜓工业园B区二楼,一次性使用医用口罩(无菌型),闽械注准20202140200（临时）
福建米欧医疗科技有限公司,1,000万(元),福建省宁德市东侨经济开发区国宝路36号生产车间(一)三、四楼,一次性使用医用口罩(非无菌型),闽械注准20202140159（临时）
福建省美德医械制造有限公司,2,180万(元),福建省莆田市涵江区江口镇石庭和平路1号,一次性使用医用口罩(无菌型),闽械注准20202140047（临时）
福建省然利医疗器械有限公司,1,000万(元),福建省龙海市东园镇凤鸣村阳光529号,一次性使用医用口罩(非无菌型),闽械注准20202140198（临时）
福建省炬冠医疗科技有限公司,1,600万(元),长汀县腾飞六路1号9幢第3层,医用外科口罩(非无菌型),闽械注准20202140191（临时）
福建省炬冠医疗科技有限公司,1,600万(元),长汀县腾飞六路1号9幢第3层,一次性使用医用口罩(非无菌型),闽械注准20202140190（临时）
福建省安康医疗器械有限公司,500万(元),福州市仓山区盖山镇齐安路756号GJ-14号三层,医用防护口罩,闽械注准20172640057
福建省安康医疗器械有限公司,500万(元),福州市仓山区盖山镇齐安路756号GJ-14号三层,医用外科口罩,闽械注准20172640084
福建省安康医疗器械有限公司,500万(元),福州市仓山区盖山镇齐安路756号GJ-14号三层,一次性普通医用口罩,闽械注准20172640085
福建省博安医疗器材有限公司,10,000万(元),福建省泉州市惠安县黄塘镇台商创业基地(黄塘村1#),一次性使用医用口罩(非无菌型),闽械注准20202140116（临时）
福建省力菲克药业有限公司,3,000万(元),福建省龙岩市经济技术开发区,医用外科口罩(无菌型和非无菌型),闽械注准20202140099（临时）
福建省力菲克药业有限公司,3,000万(元),福建省龙岩市经济技术开发区,一次性使用医用口罩(无菌型和非无菌型),闽械注准20202140082（临时）
福建盖迪恩医疗科技有限公司,1,000万(元),福建省泉州台商投资区东园镇杏东片区工业启动区(拓浦柯(中国)有限公司三号厂房3楼),一次性使用医用口罩(非无菌型),闽械注准20202140138（临时）
福建瑞迈舒医疗科技有限公司,6,500万(元),福建省泉州市永春县生物医药产业园B区3-3号,一次性使用医用口罩(无菌型和非无菌型),闽械注准20202140106（临时）
福建片仔癀医疗器械科技有限公司,1,400万(元),福建省漳州市芗城区姜园亭47号净药仓库、3幢一层西面,一次性使用医用口罩,闽械注准20152640079
福建片仔癀医疗器械科技有限公司,1,400万(元),漳州蓝田经济开发区龙腾北路46号,一次性使用医用口罩,闽械注准20152140079
福建汇天生物药业有限公司,20,000万(元),福建省三明市三元区台江路46号,一次性使用医用口罩(非无菌型),闽械注准20202140077（临时）
福建柏宁医疗用品有限公司,1,000万(元),福建省莆田市仙游县鲤南镇瑞园村出水128号一层,一次性使用医用口罩(非无菌型),闽械注准20202140175（临时）
福建惠丰药业有限公司,1,000万(元),福建省泉州市洛江区河市镇浮桥村新村80号,医用外科口罩(无菌型和非无菌型),闽械注准20202140142（临时）
福建惠丰药业有限公司,1,000万(元),福建省泉州市洛江区河市镇浮桥村新村80号,一次性使用医用口罩(无菌型和非无菌型),闽械注准20202140141（临时）
福建德森茶业有限公司,3,000万(元),晋江市池店镇唐厝村9号三好茶博汇大厦四楼,一次性使用医用口罩(非无菌型),闽械注准20202140201（临时）
福建山普新材料有限公司,4,880万(元),福建省龙岩市武平县工业园区F09-1地块,一次性使用医用口罩(非无菌型),闽械注准20202140195（临时）
福建宸润生物科技有限公司,1,000万(元),宁德市东侨经济开发区东侨工业集中区漳湾片区18号标准厂房二层；宁德市东侨工业园区A6地块疏港路11号厂房,医用防护口罩(非无菌型),闽械注准20202140044（临时）
福建宸润生物科技有限公司,1,000万(元),宁德市东侨经济开发区东侨工业集中区漳湾片区18号标准厂房二层；宁德市东侨工业园区A6地块疏港路11号厂房,一次性使用医用外科口罩(无菌型),闽械注准20202140043（临时）
福建宸润生物科技有限公司,1,000万(元),宁德市东侨经济开发区东侨工业集中区漳湾片区18号标准厂房二层；宁德市东侨工业园区A6地块疏港路11号厂房,一次性使用医用口罩(无菌型和非无菌型),闽械注准20202140042（临时）
福建天恩医药科技有限公司,1,200万(元),福建省长汀县腾飞六路1号9幢二层,一次性使用医用口罩(非无菌型),闽械注准20202140126（临时）
福建亿发护理用品有限公司,5,098万(元),福建省莆田市涵江区新涵工业区,一次性使用医用口罩(无菌型和非无菌型),闽械注准20202140055（临时）
石家庄市康安医疗器械有限公司,300万(元),河北省晋州市园头开发区,医用外科口罩,冀械注准20152640016号
石家庄市康安医疗器械有限公司,300万(元),-,医用外科口罩,冀械注准20152640016
石家庄市圣彤医药用品厂,-,石家庄栾城区窦妪工业区,一次性使用医用口罩,冀械注准20202140112
石家庄市圣彤医药用品厂,-,石家庄栾城区窦妪工业区,一次性使用医用外科口罩,冀械注准20202140111
盐城市盐康医疗器材有限公司,500万(元),盐城市城南新区新河街道河滨路2号,一次性使用医用口罩,苏械注准20202140137
盐城市新锋医疗用品有限公司,50万(元),盐城市新洋经济区新洋路58号9号厂房,一次性医用口罩,苏械注准20172640556
甘肃新善友医疗器械有限公司,1,000万(元),甘肃省临夏州广河县齐聚众创孵化园2栋4楼1号,一次性使用医用口罩,甘械注准20202140004
甘肃成纪生物药业有限公司,22,909万(元),天水市麦积区廿铺工业示范区,一次性使用医用口罩,甘械注准20202140007
瑞安森（天津）医疗器械有限公司,240万(美元),天津市静海区静海城东天宇科技园环宇西路3号,一次性医用外科口罩,津械注准20182640076
瑞安森(天津)医疗器械有限公司,240万(美元),-,一次性医用防护口罩,津械注准20162640137
玉川卫生用品（上海）有限公司,42万(美元),上海市金山工业区林慧路666号,医用外科口罩,沪械注准20202140026
爱德康特科技发展（天津）有限公司,9,000万(元),天津经济技术开发区（南港工业区）中区纺四路1号八号厂房三层313室及4号车间,一次性使用医用口罩,津械注准20202140866
爱德康特科技发展（天津）有限公司,9,000万(元),天津经济技术开发区（南港工业区）中区纺四路1号八号厂房三层313室及4号车间,一次性医用外科口罩,津械注准20202140865
焦作联盟医用材料股份有限公司,2,945万(元),焦作市民主北路17号,一次性使用医用口罩,豫械注准20162640565
焦作康业医用材料有限公司,50万(元),焦作市武陟县总干桥处,一次性使用医用口罩,豫械注准20172640565
焦作市亿中弘工贸有限公司,300万(元),焦作市示范区苏家作乡司家寨村,一次性使用医用口罩,豫械注准20182140560
